lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
Glenelg,178000.0,176500.0,1.8,19.0,7.0,21
Bayside,1229500.0,1350000.0,6.6,89.0,-4.0,70
Greater Geelong,690000.0,697000.0,6.0,79.0,1.0,199
Melton,642000.0,652500.0,6.1,81.0,0.0,90
Yarriambiack,66000.0,142500.0,-1.1,-10.0,-23.0,18
Wyndham,528500.0,545000.0,6.4,87.0,-4.0,248
Horsham,269000.0,260000.0,4.3,53.0,5.0,243
Monash,1150500.0,1480000.0,5.2,66.0,-10.0,15
Monash,914000.0,1278000.0,5.0,63.0,-10.0,8
Greater Bendigo,367500.0,372500.0,3.5,41.0,3.0,36
Nillumbik,700000.0,740000.0,5.7,74.0,-4.0,12
Greater Geelong,606000.0,728500.0,6.5,88.0,5.0,21
Loddon,185000.0,250000.0,3.6,42.0,3.0,16
Golden Plains,503000.0,500000.0,7.7,110.0,-5.0,0
Bass Coast,592500.0,649000.0,4.6,56.0,-1.0,132
Ballarat,475000.0,497000.0,4.5,56.0,2.0,27
Greater Bendigo,296000.0,465500.0,2.7,31.0,-8.0,17
Mildura,380000.0,365000.0,5.9,77.0,23.0,52
Banyule,1540000.0,1422500.0,6.7,92.0,-4.0,42
Banyule,1765000.0,1990000.0,6.3,84.0,-8.0,15
Hume,512500.0,510000.0,4.8,60.0,-8.0,8
Greater Bendigo,331500.0,345000.0,2.4,27.0,7.0,20
Mansfield,311500.0,345000.0,4.9,61.0,17.0,0
Surf Coast,870000.0,860000.0,6.4,86.0,-4.0,36
Latrobe,235000.0,296000.0,3.8,46.0,39.0,15
Hindmarsh,81000.0,88000.0,2.0,21.0,5.0,11
Casey,483500.0,467500.0,5.7,75.0,-5.0,5
Greater Bendigo,530000.0,589000.0,2.1,23.0,5.0,12
East Gippsland,292500.0,325000.0,0.9,10.0,-10.0,20
Hume,532500.0,540000.0,5.313392857142860,0.0,-3.0,47
Yarra Ranges,700000.0,564000.0,5.5,71.0,-5.0,7
Yarra Ranges,645000.0,642000.0,6.3,84.0,-6.0,9
Greater Bendigo,340000.0,370000.0,3.9,46.0,5.0,148
Nillumbik,815500.0,1080000.0,4.7,58.0,-12.0,11
West Wimmera,169500.0,137500.0,5.8,77.0,3.0,13
Brimbank,596000.0,600000.0,6.6,90.0,-3.0,22
Brimbank,836500.0,830000.0,5.1,64.0,3.0,27
Brimbank,630000.0,650000.0,5.5,70.0,-5.0,38
Moonee Valley,835000.0,858000.0,6.3,84.0,1.0,105
Brimbank,740000.0,724976.1290322580,6.0,78.0,3.0,0
Brimbank,708000.0,660000.0,5.7,74.0,-8.0,19
Greater Bendigo,373500.0,411000.0,3.5,41.0,-3.0,60
Melbourne,980000.0,1150000.0,5.6,72.0,-4.0,55
Moonee Valley,980000.0,1150000.0,5.6,72.0,-4.0,55
Gannawarra,170000.0,160000.0,1.4,15.0,-4.0,46
Boroondara,2255000.0,2200000.0,5.0,62.0,-4.0,112
Boroondara,1837000.0,1905000.0,7.0,97.0,2.0,7
Boroondara,1833000.0,2307500.0,6.9,95.0,-1.0,30
Greater Dandenong,740000.0,745000.0,7.0,97.0,-4.0,165
Greater Shepparton,450000.0,420000.0,3.5,41.0,8.0,82
Bass Coast,533000.0,662000.0,6.2,82.0,8.0,8
